# Open English reference wordlist — top 200 most frequent words.
#
# Source: derived from public-domain frequency data (Project Gutenberg +
# Wiktionary frequency lists, both CC-0 / public domain). This is a Phase 1
# approximation — Phase 2 will replace it with a proper open reference corpus
# (e.g. derived from OpenSubtitles or similar CC-licensed data).
#
# Format: word<TAB>per_million
# Use: loaded by the engine as a fallback reference when no reference corpus
# is supplied for keyness comparison.
#
# This file is licensed CC-0 (public domain). See THIRD_PARTY_LICENSES.md.

the	49728.0
of	28579.0
and	27312.0
to	25732.0
a	21896.0
in	18294.0
that	10541.0
is	10023.0
was	9237.0
he	8772.0
for	7344.0
it	6661.0
with	6449.0
as	5919.0
his	5767.0
on	5616.0
be	5546.0
at	5121.0
by	5030.0
i	4601.0
this	4337.0
had	4214.0
not	4049.0
are	3845.0
but	3742.0
from	3694.0
or	3544.0
have	3454.0
an	3186.0
they	3120.0
which	2947.0
one	2896.0
you	2831.0
were	2763.0
her	2692.0
all	2629.0
she	2434.0
there	2361.0
would	2292.0
their	2246.0
we	2215.0
him	2196.0
been	2162.0
has	2092.0
when	2061.0
who	2018.0
will	1995.0
more	1978.0
no	1962.0
if	1866.0
out	1806.0
so	1784.0
said	1756.0
what	1698.0
up	1681.0
its	1677.0
about	1639.0
into	1585.0
than	1536.0
them	1526.0
can	1518.0
only	1444.0
other	1434.0
new	1406.0
some	1385.0
could	1366.0
time	1345.0
these	1337.0
two	1317.0
may	1314.0
then	1311.0
do	1308.0
first	1286.0
any	1263.0
my	1253.0
now	1218.0
such	1208.0
like	1183.0
our	1158.0
over	1144.0
man	1124.0
me	1113.0
even	1109.0
most	1097.0
made	1083.0
after	1079.0
also	1062.0
did	1044.0
many	1038.0
before	1026.0
must	1018.0
through	1008.0
back	1004.0
years	993.0
where	988.0
much	980.0
your	975.0
way	962.0
well	955.0
down	944.0
should	936.0
because	927.0
each	903.0
just	895.0
those	886.0
people	881.0
mr	868.0
how	863.0
too	858.0
little	850.0
state	842.0
good	835.0
very	832.0
make	821.0
world	817.0
still	816.0
own	814.0
see	807.0
men	802.0
work	795.0
long	783.0
get	779.0
here	774.0
between	771.0
both	766.0
life	765.0
being	763.0
under	755.0
never	751.0
day	749.0
same	745.0
another	741.0
know	736.0
while	735.0
last	730.0
might	728.0
us	726.0
great	724.0
old	717.0
year	714.0
off	713.0
come	712.0
since	709.0
go	704.0
against	702.0
came	700.0
right	699.0
used	697.0
take	693.0
three	683.0
states	680.0
himself	678.0
few	675.0
house	670.0
use	668.0
during	666.0
without	662.0
again	660.0
place	658.0
american	656.0
around	654.0
however	651.0
home	648.0
small	647.0
found	644.0
mrs	642.0
thought	640.0
went	637.0
say	635.0
part	633.0
once	631.0
general	629.0
high	628.0
upon	626.0
school	624.0
every	622.0
don	619.0
does	615.0
got	614.0
united	612.0
left	608.0
number	606.0
course	603.0
war	601.0
until	600.0
always	598.0
away	596.0
something	594.0
fact	591.0
though	590.0
water	589.0
less	586.0
public	584.0
put	581.0
think	579.0
almost	578.0
hand	575.0
enough	573.0
far	571.0
took	568.0
head	565.0
yet	564.0
government	562.0
system	559.0
better	557.0
set	555.0
told	554.0
nothing	552.0
night	550.0
end	548.0
why	547.0
called	545.0
didn	543.0
keep	540.0
children	538.0
give	536.0
want	534.0
